 ,WTON,WTOF,PHOT,HROR
2024-01-01 00:00:00+00:00,0.188686405,0,0,0.568540491
2024-01-01 01:00:00+00:00,0.182741776,0,0,0.558241473
2024-01-01 02:00:00+00:00,0.174035951,0,0,0.546112052
2024-01-01 03:00:00+00:00,0.173888724,0,0,0.540928766
2024-01-01 04:00:00+00:00,0.172960917,0,0,0.529744723
2024-01-01 05:00:00+00:00,0.174916534,0,0,0.520208007
2024-01-01 06:00:00+00:00,0.180791716,0,0,0.515791109
2024-01-01 07:00:00+00:00,0.188797519,0,0.00125181,0.510795151
2024-01-01 08:00:00+00:00,0.19561162,0,0.044186503,0.509735019
2024-01-01 09:00:00+00:00,0.192375408,0,0.170252887,0.500064916
2024-01-01 10:00:00+00:00,0.189078084,0,0.299905078,0.489109811
2024-01-01 11:00:00+00:00,0.216751164,0,0.371977421,0.471333585
2024-01-01 12:00:00+00:00,0.209925952,0,0.398828567,0.474398256
2024-01-01 13:00:00+00:00,0.229068212,0,0.412204949,0.482569553
2024-01-01 14:00:00+00:00,0.241771384,0,0.4199431,0.479099518
2024-01-01 15:00:00+00:00,0.247996577,0,0.284457796,0.479221728
2024-01-01 16:00:00+00:00,0.243727,0,0.077301972,0.504753993
2024-01-01 17:00:00+00:00,0.27498908,0,0.005104389,0.535362469
2024-01-01 18:00:00+00:00,0.301098223,0,0.003700052,0.566156898
2024-01-01 19:00:00+00:00,0.304923342,0,0,0.579253191
2024-01-01 20:00:00+00:00,0.29388411,0,0,0.573565838
2024-01-01 21:00:00+00:00,0.291372921,0,0,0.541335632
2024-01-01 22:00:00+00:00,0.305467803,0,0,0.513195563
2024-01-01 23:00:00+00:00,0.322179432,0,0,0.487894471
2024-01-02 00:00:00+00:00,0.326451787,0,0,0.485061321
2024-01-02 01:00:00+00:00,0.323243354,0,0,0.480885636
2024-01-02 02:00:00+00:00,0.326001773,0,0,0.466435578
2024-01-02 03:00:00+00:00,0.30964571,0,0,0.471963214
2024-01-02 04:00:00+00:00,0.314640309,0,0,0.474784015
2024-01-02 05:00:00+00:00,0.344071777,0,0,0.481958209
2024-01-02 06:00:00+00:00,0.365233544,0,0,0.503528722
2024-01-02 07:00:00+00:00,0.380806249,0,0.004074318,0.490859908
2024-01-02 08:00:00+00:00,0.383450776,0,0.075987216,0.493674626
2024-01-02 09:00:00+00:00,0.387909247,0,0.218449252,0.486470347
2024-01-02 10:00:00+00:00,0.393509421,0,0.273464417,0.50520978
2024-01-02 11:00:00+00:00,0.413887831,0,0.28368244,0.511035686
2024-01-02 12:00:00+00:00,0.44119701,0,0.276432801,0.515452622
2024-01-02 13:00:00+00:00,0.470589588,0,0.270316235,0.532754446
2024-01-02 14:00:00+00:00,0.484281679,0,0.253170854,0.529119234
2024-01-02 15:00:00+00:00,0.477839813,0,0.161520752,0.522072198
2024-01-02 16:00:00+00:00,0.489479063,0,0.064242596,0.536069346
2024-01-02 17:00:00+00:00,0.518332735,0,0.018526103,0.575756313
2024-01-02 18:00:00+00:00,0.529060845,0,0.00299213,0.597395022
2024-01-02 19:00:00+00:00,0.536488853,0,0,0.604133986
2024-01-02 20:00:00+00:00,0.537922231,0,0,0.591691784
2024-01-02 21:00:00+00:00,0.531622036,0,0,0.55726927
2024-01-02 22:00:00+00:00,0.507787964,0,0,0.53111137
2024-01-02 23:00:00+00:00,0.491631907,0,0,0.526418775
2024-01-03 00:00:00+00:00,0.482489957,0,0,0.524514055
2024-01-03 01:00:00+00:00,0.471678511,0,0,0.519116837
2024-01-03 02:00:00+00:00,0.461839317,0,0,0.516781982
2024-01-03 03:00:00+00:00,0.456200253,0,0,0.521041894
2024-01-03 04:00:00+00:00,0.449405598,0,0,0.516564386
2024-01-03 05:00:00+00:00,0.45296682,0,0,0.520185654
2024-01-03 06:00:00+00:00,0.451952899,0,0,0.52268541
2024-01-03 07:00:00+00:00,0.448086113,0,0.002201692,0.531877721
2024-01-03 08:00:00+00:00,0.439308063,0,0.045777557,0.537267408
2024-01-03 09:00:00+00:00,0.423052004,0,0.133478861,0.525278098
2024-01-03 10:00:00+00:00,0.410412723,0,0.193782837,0.552155133
2024-01-03 11:00:00+00:00,0.398592912,0,0.235180756,0.559598592
2024-01-03 12:00:00+00:00,0.38647587,0,0.239970878,0.581429942
2024-01-03 13:00:00+00:00,0.383589669,0,0.207549349,0.589347181
2024-01-03 14:00:00+00:00,0.368678096,0,0.170819425,0.586101082
2024-01-03 15:00:00+00:00,0.335457621,0,0.105993329,0.581843735
2024-01-03 16:00:00+00:00,0.308809573,0,0.05379728,0.610913627
2024-01-03 17:00:00+00:00,0.298987046,0,0.026488155,0.624326035
2024-01-03 18:00:00+00:00,0.295961953,0,0.016280309,0.631099629
2024-01-03 19:00:00+00:00,0.310287397,0,0,0.631684808
2024-01-03 20:00:00+00:00,0.319676577,0,0,0.632606679
2024-01-03 21:00:00+00:00,0.324235051,0,0,0.625839389
2024-01-03 22:00:00+00:00,0.296995318,0,0,0.611721478
2024-01-03 23:00:00+00:00,0.276286343,0,0,0.583207248
2024-01-04 00:00:00+00:00,0.258594128,0,0,0.563734279
2024-01-04 01:00:00+00:00,0.244038121,0,0,0.554544442
2024-01-04 02:00:00+00:00,0.236924011,0,0,0.551299332
2024-01-04 03:00:00+00:00,0.231326616,0,0,0.544623763
2024-01-04 04:00:00+00:00,0.232759993,0,0,0.536737306
2024-01-04 05:00:00+00:00,0.235554524,0,0,0.534233775
2024-01-04 06:00:00+00:00,0.23246554,0,4.74941E-05,0.548512904
2024-01-04 07:00:00+00:00,0.229234884,0,0.002863218,0.552750976
2024-01-04 08:00:00+00:00,0.215006665,0,0.044495215,0.556417281
2024-01-04 09:00:00+00:00,0.200608997,0,0.103723788,0.556120788
2024-01-04 10:00:00+00:00,0.184636279,0,0.140847236,0.555452938
2024-01-04 11:00:00+00:00,0.18042226,0,0.17366568,0.548321948
2024-01-04 12:00:00+00:00,0.177749955,0,0.163230541,0.56763991
2024-01-04 13:00:00+00:00,0.176108237,0,0.150546216,0.562465199
2024-01-04 14:00:00+00:00,0.158835479,0,0.108910826,0.592194953
2024-01-04 15:00:00+00:00,0.150518555,0,0.069833334,0.610621422
2024-01-04 16:00:00+00:00,0.130920725,0,0.051700753,0.616640867
2024-01-04 17:00:00+00:00,0.129779023,0,0.029405652,0.628495215
2024-01-04 18:00:00+00:00,0.149937981,0,0.014373759,0.642850932
2024-01-04 19:00:00+00:00,0.151735259,0,0,0.655180543
2024-01-04 20:00:00+00:00,0.162180028,0,0,0.644279086
2024-01-04 21:00:00+00:00,0.175516552,0,0,0.628889512
2024-01-04 22:00:00+00:00,0.166066259,0,0,0.615690101
2024-01-04 23:00:00+00:00,0.173844278,0,0,0.60974389
2024-01-05 00:00:00+00:00,0.216037253,0,0,0.611493419
2024-01-05 01:00:00+00:00,0.212039907,0,0,0.612147418
2024-01-05 02:00:00+00:00,0.20951205,0,0,0.600097314
2024-01-05 03:00:00+00:00,0.241260257,0,0,0.592365094
2024-01-05 04:00:00+00:00,0.276255786,0,0,0.58916579
2024-01-05 05:00:00+00:00,0.310245729,0,0,0.615880709
2024-01-05 06:00:00+00:00,0.338829948,0,0,0.63336845
2024-01-05 07:00:00+00:00,0.364086287,0,0.002802154,0.635248929
2024-01-05 08:00:00+00:00,0.401709675,0,0.086388431,0.627350434
2024-01-05 09:00:00+00:00,0.425660418,0,0.252801078,0.591366672
2024-01-05 10:00:00+00:00,0.453180715,0,0.340570231,0.591147078
2024-01-05 11:00:00+00:00,0.503423939,0,0.358244832,0.565260935
2024-01-05 12:00:00+00:00,0.558597872,0,0.344162823,0.558130055
2024-01-05 13:00:00+00:00,0.57877072,0,0.352535359,0.567051707
2024-01-05 14:00:00+00:00,0.580517996,0,0.317460944,0.569208451
2024-01-05 15:00:00+00:00,0.578662383,0,0.233487929,0.574237939
2024-01-05 16:00:00+00:00,0.577754021,0,0.076669096,0.592319142
2024-01-05 17:00:00+00:00,0.57173439,0,0.002225439,0.628199345
2024-01-05 18:00:00+00:00,0.551930999,0,0,0.637688203
2024-01-05 19:00:00+00:00,0.527421906,0,0,0.648131949
2024-01-05 20:00:00+00:00,0.511021397,0,0,0.644881232
2024-01-05 21:00:00+00:00,0.514507616,0,0,0.628677119
2024-01-05 22:00:00+00:00,0.500054391,0,0,0.617633682
2024-01-05 23:00:00+00:00,0.488787375,0,0,0.598083283
2024-01-06 00:00:00+00:00,0.488087353,0,0,0.572613992
2024-01-06 01:00:00+00:00,0.484978923,0,0,0.562425678
2024-01-06 02:00:00+00:00,0.477145347,0,0,0.562933555
2024-01-06 03:00:00+00:00,0.470459029,0,0,0.563903028
2024-01-06 04:00:00+00:00,0.459225347,0,0,0.554302422
2024-01-06 05:00:00+00:00,0.453052934,0,0,0.554627736
2024-01-06 06:00:00+00:00,0.431927279,0,0,0.555629382
2024-01-06 07:00:00+00:00,0.413501707,0,0.003857202,0.558800489
2024-01-06 08:00:00+00:00,0.404345868,0,0.124061453,0.550996537
2024-01-06 09:00:00+00:00,0.406382042,0,0.352386092,0.548862165
2024-01-06 10:00:00+00:00,0.408707114,0,0.441427409,0.547973732
2024-01-06 11:00:00+00:00,0.404648655,0,0.453935328,0.535642654
2024-01-06 12:00:00+00:00,0.399281822,0,0.44672979,0.525547656
2024-01-06 13:00:00+00:00,0.405462569,0,0.432088028,0.517679778
2024-01-06 14:00:00+00:00,0.417318492,0,0.403120001,0.553719093
2024-01-06 15:00:00+00:00,0.425179847,0,0.271666425,0.577971743
2024-01-06 16:00:00+00:00,0.404862551,0,0.07465738,0.595027919
2024-01-06 17:00:00+00:00,0.381184039,0,0.003378868,0.624853975
2024-01-06 18:00:00+00:00,0.37659223,0,0,0.642359086
2024-01-06 19:00:00+00:00,0.391434357,0,0,0.641746368
2024-01-06 20:00:00+00:00,0.389945422,0,0,0.633439064
2024-01-06 21:00:00+00:00,0.383439664,0,0,0.6291107
2024-01-06 22:00:00+00:00,0.388489821,0,0,0.624854543
2024-01-06 23:00:00+00:00,0.384214688,0,0,0.617291677
2024-01-07 00:00:00+00:00,0.370489263,0,0,0.601270421
2024-01-07 01:00:00+00:00,0.367678065,0,0,0.569426835
2024-01-07 02:00:00+00:00,0.365875231,0,0,0.589132626
2024-01-07 03:00:00+00:00,0.360872298,0,0,0.610950345
2024-01-07 04:00:00+00:00,0.359547257,0,0,0.60961404
2024-01-07 05:00:00+00:00,0.355280458,0,0,0.608269453
2024-01-07 06:00:00+00:00,0.355497132,0,0,0.612868366
2024-01-07 07:00:00+00:00,0.348013566,0,0.003517958,0.612262079
2024-01-07 08:00:00+00:00,0.332904764,0,0.115085063,0.609814578
2024-01-07 09:00:00+00:00,0.315945905,0,0.351361576,0.582434631
2024-01-07 10:00:00+00:00,0.316309806,0,0.440063649,0.563635173
2024-01-07 11:00:00+00:00,0.335971526,0,0.467291356,0.565770113
2024-01-07 12:00:00+00:00,0.360436174,0,0.462996529,0.560385574
2024-01-07 13:00:00+00:00,0.367419723,0,0.474737757,0.541492233
2024-01-07 14:00:00+00:00,0.369803131,0,0.460336858,0.54320968
2024-01-07 15:00:00+00:00,0.366483583,0,0.339369308,0.5765249
2024-01-07 16:00:00+00:00,0.356524941,0,0.103859486,0.624978329
2024-01-07 17:00:00+00:00,0.37291156,0,0.002523974,0.646938614
2024-01-07 18:00:00+00:00,0.380320123,0,0,0.648870047
2024-01-07 19:00:00+00:00,0.395362256,0,0,0.639809273
2024-01-07 20:00:00+00:00,0.398340126,0,0,0.63374666
2024-01-07 21:00:00+00:00,0.392089933,0,0,0.637379618
2024-01-07 22:00:00+00:00,0.387767576,0,0,0.628623636
2024-01-07 23:00:00+00:00,0.392667728,0,0,0.60413974
2024-01-08 00:00:00+00:00,0.386506426,0,0,0.587831849
2024-01-08 01:00:00+00:00,0.386261974,0,0,0.578790808
2024-01-08 02:00:00+00:00,0.379331204,0,0,0.568810343
2024-01-08 03:00:00+00:00,0.36471964,0,0,0.566813535
2024-01-08 04:00:00+00:00,0.353297063,0,0,0.566699808
2024-01-08 05:00:00+00:00,0.34626629,0,0,0.571501531
2024-01-08 06:00:00+00:00,0.341691148,0,0.011269679,0.585336893
2024-01-08 07:00:00+00:00,0.32487396,0,0.02186087,0.59834183
2024-01-08 08:00:00+00:00,0.309923497,0,0.124777258,0.597460799
2024-01-08 09:00:00+00:00,0.287803366,0,0.300648022,0.595765028
2024-01-08 10:00:00+00:00,0.268113867,0,0.372879809,0.593632855
2024-01-08 11:00:00+00:00,0.258380232,0,0.388675,0.601428946
2024-01-08 12:00:00+00:00,0.261652556,0,0.381191282,0.611799366
2024-01-08 13:00:00+00:00,0.247032658,0,0.370949512,0.622118887
2024-01-08 14:00:00+00:00,0.232498874,0,0.31170737,0.631463731
2024-01-08 15:00:00+00:00,0.200658998,0,0.186302511,0.648245841
2024-01-08 16:00:00+00:00,0.175235988,0,0.066539277,0.658254303
2024-01-08 17:00:00+00:00,0.166805171,0,0.028228476,0.667716428
2024-01-08 18:00:00+00:00,0.170163608,0,0.029127472,0.675036798
2024-01-08 19:00:00+00:00,0.152554729,0,0.00939366,0.678283703
2024-01-08 20:00:00+00:00,0.135020852,0,0,0.661055553
2024-01-08 21:00:00+00:00,0.123864951,0,0,0.648340494
2024-01-08 22:00:00+00:00,0.114278543,0,0,0.642743416
2024-01-08 23:00:00+00:00,0.089758338,0,0,0.618253271
2024-01-09 00:00:00+00:00,0.068782688,0,0,0.607648912
2024-01-09 01:00:00+00:00,0.057104548,0,0,0.606519503
2024-01-09 02:00:00+00:00,0.042323534,0,0,0.605649099
2024-01-09 03:00:00+00:00,0.042592987,0,0,0.603319814
2024-01-09 04:00:00+00:00,0.032334336,0,0,0.601037086
2024-01-09 05:00:00+00:00,0.027234178,0,0,0.603803854
2024-01-09 06:00:00+00:00,0.023545174,0,0,0.608096454
2024-01-09 07:00:00+00:00,0.020553415,0,0.004579791,0.604892257
2024-01-09 08:00:00+00:00,0.021709006,0,0.063462335,0.603408568
2024-01-09 09:00:00+00:00,0.028186985,0,0.186821554,0.596877012
2024-01-09 10:00:00+00:00,0.027359181,0,0.245154523,0.595771569
2024-01-09 11:00:00+00:00,0.026311927,0,0.259545245,0.595183769
2024-01-09 12:00:00+00:00,0.025167447,0,0.23645292,0.594355782
2024-01-09 13:00:00+00:00,0.026184145,0,0.198627238,0.599653564
2024-01-09 14:00:00+00:00,0.029531471,0,0.141267898,0.605735947
2024-01-09 15:00:00+00:00,0.028873117,0,0.085967238,0.618164994
2024-01-09 16:00:00+00:00,0.023959076,0,0.039799781,0.633049311
2024-01-09 17:00:00+00:00,0.023453505,0,0.05102506,0.645193445
2024-01-09 18:00:00+00:00,0.023331279,0,0.056878924,0.65242257
2024-01-09 19:00:00+00:00,0.036413712,0,0.026790902,0.652223259
2024-01-09 20:00:00+00:00,0.055649613,0,0.01253845,0.643382647
2024-01-09 21:00:00+00:00,0.048801922,0,0.001289126,0.627708379
2024-01-09 22:00:00+00:00,0.0630714,0,0,0.612478649
2024-01-09 23:00:00+00:00,0.074141187,0,0,0.599915153
2024-01-10 00:00:00+00:00,0.076863494,0,0,0.593598885
2024-01-10 01:00:00+00:00,0.080774726,0,0,0.593254461
2024-01-10 02:00:00+00:00,0.094208476,0,0,0.589931408
2024-01-10 03:00:00+00:00,0.098666948,0,0,0.587942442
2024-01-10 04:00:00+00:00,0.093186222,0,0,0.586655663
2024-01-10 05:00:00+00:00,0.091175049,0,0,0.589798021
2024-01-10 06:00:00+00:00,0.089024982,0,0.000461372,0.602855452
2024-01-10 07:00:00+00:00,0.09225286,0,0.002998915,0.609907344
2024-01-10 08:00:00+00:00,0.096086312,0,0.03879592,0.612754621
2024-01-10 09:00:00+00:00,0.103739327,0,0.110702033,0.613546
2024-01-10 10:00:00+00:00,0.118745348,0,0.163783508,0.605982475
2024-01-10 11:00:00+00:00,0.122728805,0,0.191299572,0.607279313
2024-01-10 12:00:00+00:00,0.140573802,0,0.194359551,0.608583462
2024-01-10 13:00:00+00:00,0.152599175,0,0.188042832,0.61357898
2024-01-10 14:00:00+00:00,0.167652419,0,0.18088818,0.619093242
2024-01-10 15:00:00+00:00,0.163557848,0,0.139860036,0.637514727
2024-01-10 16:00:00+00:00,0.147529573,0,0.060588941,0.653112187
2024-01-10 17:00:00+00:00,0.135626427,0,0.027919764,0.673877982
2024-01-10 18:00:00+00:00,0.137759826,0,0.004433916,0.694696215
2024-01-10 19:00:00+00:00,0.151818595,0,0,0.707757109
2024-01-10 20:00:00+00:00,0.172210894,0,0,0.701837319
2024-01-10 21:00:00+00:00,0.199089505,0,0,0.678945287
2024-01-10 22:00:00+00:00,0.213006603,0,0,0.665554426
2024-01-10 23:00:00+00:00,0.232379426,0,0,0.653043954
2024-01-11 00:00:00+00:00,0.253435634,0,0,0.646718965
2024-01-11 01:00:00+00:00,0.269119454,0,0,0.645137617
2024-01-11 02:00:00+00:00,0.25527458,0,0,0.640946469
2024-01-11 03:00:00+00:00,0.24535205,0,0,0.636459469
2024-01-11 04:00:00+00:00,0.240882467,0,0,0.633985565
2024-01-11 05:00:00+00:00,0.236462886,0,0,0.635081334
2024-01-11 06:00:00+00:00,0.221015185,0,0,0.63829537
2024-01-11 07:00:00+00:00,0.205848048,0,0.003419577,0.64186048
2024-01-11 08:00:00+00:00,0.17971946,0,0.083426832,0.637759331
2024-01-11 09:00:00+00:00,0.156035393,0,0.239082059,0.6348043
2024-01-11 10:00:00+00:00,0.148979618,0,0.320877129,0.634740099
2024-01-11 11:00:00+00:00,0.148551827,0,0.339094521,0.633192958
2024-01-11 12:00:00+00:00,0.151926932,0,0.360324397,0.632777664
2024-01-11 13:00:00+00:00,0.166394047,0,0.375278263,0.635589725
2024-01-11 14:00:00+00:00,0.175380437,0,0.357403508,0.642394302
2024-01-11 15:00:00+00:00,0.175847118,0,0.281752143,0.660027266
2024-01-11 16:00:00+00:00,0.169252469,0,0.097295118,0.678309263
2024-01-11 17:00:00+00:00,0.179830575,0,0.003311019,0.687321868
2024-01-11 18:00:00+00:00,0.191536493,0,0,0.687851164
2024-01-11 19:00:00+00:00,0.193542111,0,0,0.68930191
2024-01-11 20:00:00+00:00,0.19622275,0,0,0.675586982
2024-01-11 21:00:00+00:00,0.196825546,0,0,0.652258328
2024-01-11 22:00:00+00:00,0.197225558,0,0,0.642470944
2024-01-11 23:00:00+00:00,0.204528563,0,0,0.633151806
2024-01-12 00:00:00+00:00,0.198747828,0,0,0.62810876
2024-01-12 01:00:00+00:00,0.188716961,0,0,0.626393512
2024-01-12 02:00:00+00:00,0.184330714,0,0,0.621962963
