index,ES -> RoW,RoW -> ES
2021-01-01 00:00:00+00:00,2005.5,2869.773695
2021-01-01 01:00:00+00:00,2871.666667,2842.802936
2021-01-01 02:00:00+00:00,3328.333333,2823.307186
2021-01-01 03:00:00+00:00,4035.666667,2763.052845
2021-01-01 04:00:00+00:00,4063.833333,2754.094319
2021-01-01 05:00:00+00:00,4153.5,2743.834173
2021-01-01 06:00:00+00:00,4266,2776.99981
2021-01-01 07:00:00+00:00,4102.833333,2780.617736
2021-01-01 08:00:00+00:00,4224,2793.437349
2021-01-01 09:00:00+00:00,4392.333333,2827.258244
2021-01-01 10:00:00+00:00,4644,3036.331408
2021-01-01 11:00:00+00:00,4973,3277.644616
2021-01-01 12:00:00+00:00,4836.666667,3376.95059
2021-01-01 13:00:00+00:00,4588.666667,3378.157504
2021-01-01 14:00:00+00:00,4650.666667,3261.848411
2021-01-01 15:00:00+00:00,4042,3175.15938
2021-01-01 16:00:00+00:00,2848.166666,3191.843293
2021-01-01 17:00:00+00:00,2278,3056.239932
2021-01-01 18:00:00+00:00,2226.666667,3062.304243
2021-01-01 19:00:00+00:00,2746.833333,3032.295232
2021-01-01 20:00:00+00:00,1302.166667,3031.482344
2021-01-01 21:00:00+00:00,1746.5,3019.702388
2021-01-01 22:00:00+00:00,2059,2989.782539
2021-01-01 23:00:00+00:00,2271.333334,2952.273638
2021-01-02 00:00:00+00:00,3792.5,2938.00882
2021-01-02 01:00:00+00:00,4743.666667,2893.168772
2021-01-02 02:00:00+00:00,4785.666667,2876.762941
2021-01-02 03:00:00+00:00,4604.333333,2881.694903
2021-01-02 04:00:00+00:00,4665,2900.204416
2021-01-02 05:00:00+00:00,4780.166667,2958.157948
2021-01-02 06:00:00+00:00,4643,3011.212529
2021-01-02 07:00:00+00:00,4188.333333,3106.446395
2021-01-02 08:00:00+00:00,4306.166667,3155.267698
2021-01-02 09:00:00+00:00,4635.833333,3209.802267
2021-01-02 10:00:00+00:00,5016.333333,3460.139129
2021-01-02 11:00:00+00:00,5397.833333,3862.405195
2021-01-02 12:00:00+00:00,5562.333333,3965.495503
2021-01-02 13:00:00+00:00,5269.333333,4151.671865
2021-01-02 14:00:00+00:00,5235,4378.195339
2021-01-02 15:00:00+00:00,5049,4564.912258
2021-01-02 16:00:00+00:00,5046.333333,4265.988409
2021-01-02 17:00:00+00:00,4530.333334,3627.966635
2021-01-02 18:00:00+00:00,4274.666667,3421.655005
2021-01-02 19:00:00+00:00,3025.666666,3395.432251
2021-01-02 20:00:00+00:00,852.666667,3364.042949
2021-01-02 21:00:00+00:00,1750.666666,3357.86069
2021-01-02 22:00:00+00:00,1740.166667,3312.504812
2021-01-02 23:00:00+00:00,3128.5,3273.125894
2021-01-03 00:00:00+00:00,4175.666667,3241.894904
2021-01-03 01:00:00+00:00,3832.166667,3212.693194
2021-01-03 02:00:00+00:00,3070.166667,3164.564703
2021-01-03 03:00:00+00:00,2843,3136.248768
2021-01-03 04:00:00+00:00,2667.166667,3127.914052
2021-01-03 05:00:00+00:00,2175.166667,3164.081489
2021-01-03 06:00:00+00:00,1722.166667,3224.234683
2021-01-03 07:00:00+00:00,2126.166667,3261.062551
2021-01-03 08:00:00+00:00,2749.333333,3297.609978
2021-01-03 09:00:00+00:00,3076.166667,3338.514228
2021-01-03 10:00:00+00:00,3732.5,3620.221862
2021-01-03 11:00:00+00:00,4708.666666,4053.136276
2021-01-03 12:00:00+00:00,4208.666667,4176.975043
2021-01-03 13:00:00+00:00,3730.5,4249.541707
2021-01-03 14:00:00+00:00,4186,4459.530012
2021-01-03 15:00:00+00:00,3801.5,4672.953828
2021-01-03 16:00:00+00:00,3617.833333,4374.560363
2021-01-03 17:00:00+00:00,1469,3580.371211
2021-01-03 18:00:00+00:00,47.50000028,3380.862123
2021-01-03 19:00:00+00:00,0,4044.498024
2021-01-03 20:00:00+00:00,0,3986.387398
2021-01-03 21:00:00+00:00,0,3693.014369
2021-01-03 22:00:00+00:00,74.3333334,3313.333348
2021-01-03 23:00:00+00:00,0,3422.931244
2021-01-04 00:00:00+00:00,911.9999998,3240.073161
2021-01-04 01:00:00+00:00,1319.5,3232.208277
2021-01-04 02:00:00+00:00,799.6666669,3236.564632
2021-01-04 03:00:00+00:00,549.3333334,3245.402614
2021-01-04 04:00:00+00:00,1149.166667,3240.932764
2021-01-04 05:00:00+00:00,1660.333333,3283.828004
2021-01-04 06:00:00+00:00,1224.5,3336.29956
2021-01-04 07:00:00+00:00,0,3853.372838
2021-01-04 08:00:00+00:00,0,5044.395112
2021-01-04 09:00:00+00:00,0,4633.801297
2021-01-04 10:00:00+00:00,0,3680.922656
2021-01-04 11:00:00+00:00,632.4999999,3832.194032
2021-01-04 12:00:00+00:00,695.3333332,3845.572842
2021-01-04 13:00:00+00:00,1408,3862.629265
2021-01-04 14:00:00+00:00,1787.333333,3924.968473
2021-01-04 15:00:00+00:00,760.0000002,3924.984799
2021-01-04 16:00:00+00:00,0,4671.298383
2021-01-04 17:00:00+00:00,0,6115.75621
2021-01-04 18:00:00+00:00,0,6388.176709
2021-01-04 19:00:00+00:00,0,7857.313653
2021-01-04 20:00:00+00:00,0,7569.087724
2021-01-04 21:00:00+00:00,0,6001.004041
2021-01-04 22:00:00+00:00,0,5349.005143
2021-01-04 23:00:00+00:00,0,5086.9704
2021-01-05 00:00:00+00:00,0,4317.813958
2021-01-05 01:00:00+00:00,0,4959.366941
2021-01-05 02:00:00+00:00,0,5109.457743
2021-01-05 03:00:00+00:00,0,5556.553338
2021-01-05 04:00:00+00:00,0,5414.4422
2021-01-05 05:00:00+00:00,0,5274.844311
2021-01-05 06:00:00+00:00,0,6216.446321
2021-01-05 07:00:00+00:00,0,7617.313666
2021-01-05 08:00:00+00:00,0,8663.214458
2021-01-05 09:00:00+00:00,0,8647.378387
2021-01-05 10:00:00+00:00,0,7969.311749
2021-01-05 11:00:00+00:00,0,7396.703216
2021-01-05 12:00:00+00:00,0,7103.503048
2021-01-05 13:00:00+00:00,0,6893.280468
2021-01-05 14:00:00+00:00,0,6019.84415
2021-01-05 15:00:00+00:00,0,7355.173227
2021-01-05 16:00:00+00:00,0,7939.946173
2021-01-05 17:00:00+00:00,0,7621.252212
2021-01-05 18:00:00+00:00,0,7869.861093
2021-01-05 19:00:00+00:00,0,7828.798319
2021-01-05 20:00:00+00:00,0,8083.334257
2021-01-05 21:00:00+00:00,0,7880.640682
2021-01-05 22:00:00+00:00,0,7262.359969
2021-01-05 23:00:00+00:00,0,6803.806147
2021-01-06 00:00:00+00:00,0,5675.134754
2021-01-06 01:00:00+00:00,0,5045.225408
2021-01-06 02:00:00+00:00,0,5274.114592
2021-01-06 03:00:00+00:00,0,5257.67707
2021-01-06 04:00:00+00:00,0,5249.540895
2021-01-06 05:00:00+00:00,0,5185.873249
2021-01-06 06:00:00+00:00,59.33333299,3434.979141
2021-01-06 07:00:00+00:00,968.8333333,3458.775386
2021-01-06 08:00:00+00:00,960.8333334,3491.569181
2021-01-06 09:00:00+00:00,928,3517.133793
2021-01-06 10:00:00+00:00,422.6666664,3503.606252
2021-01-06 11:00:00+00:00,325.3333332,3473.299597
2021-01-06 12:00:00+00:00,0,3976.454832
2021-01-06 13:00:00+00:00,0,4616.96172
2021-01-06 14:00:00+00:00,0,3897.945717
2021-01-06 15:00:00+00:00,0,3675.912964
2021-01-06 16:00:00+00:00,650.5000002,3510.732541
2021-01-06 17:00:00+00:00,0,3795.034683
2021-01-06 18:00:00+00:00,0,4715.400721
2021-01-06 19:00:00+00:00,0,6957.649964
2021-01-06 20:00:00+00:00,0,7445.055593
2021-01-06 21:00:00+00:00,0,6831.531329
2021-01-06 22:00:00+00:00,0,6287.148219
2021-01-06 23:00:00+00:00,0,6018.105891
2021-01-07 00:00:00+00:00,0,5467.095215
2021-01-07 01:00:00+00:00,0,4703.200335
2021-01-07 02:00:00+00:00,0,4857.18801
2021-01-07 03:00:00+00:00,0,4592.022128
2021-01-07 04:00:00+00:00,0,5170.449265
2021-01-07 05:00:00+00:00,0,5786.735346
2021-01-07 06:00:00+00:00,0,6821.921416
2021-01-07 07:00:00+00:00,0,8746.337837
2021-01-07 08:00:00+00:00,0,9162.685415
2021-01-07 09:00:00+00:00,0,9358.048704
2021-01-07 10:00:00+00:00,0,9206.41764
2021-01-07 11:00:00+00:00,0,9353.574261
2021-01-07 12:00:00+00:00,0,9484.29469
2021-01-07 13:00:00+00:00,0,9320.314272
2021-01-07 14:00:00+00:00,0,8646.658108
2021-01-07 15:00:00+00:00,0,8415.943923
2021-01-07 16:00:00+00:00,0,8313.366198
2021-01-07 17:00:00+00:00,0,8257.339639
2021-01-07 18:00:00+00:00,0,8427.496489
2021-01-07 19:00:00+00:00,0,8396.435759
2021-01-07 20:00:00+00:00,0,8337.044817
2021-01-07 21:00:00+00:00,0,8701.194333
2021-01-07 22:00:00+00:00,0,7257.520471
2021-01-07 23:00:00+00:00,0,6159.020407
2021-01-08 00:00:00+00:00,0,5167.73593
2021-01-08 01:00:00+00:00,0,4242.960582
2021-01-08 02:00:00+00:00,0,4085.359884
2021-01-08 03:00:00+00:00,0,4034.048757
2021-01-08 04:00:00+00:00,0,4215.745283
2021-01-08 05:00:00+00:00,0,4333.607696
2021-01-08 06:00:00+00:00,0,5677.758641
2021-01-08 07:00:00+00:00,0,7479.925772
2021-01-08 08:00:00+00:00,0,8610.975359
2021-01-08 09:00:00+00:00,0,8749.556964
2021-01-08 10:00:00+00:00,0,8931.831302
2021-01-08 11:00:00+00:00,0,8693.341514
2021-01-08 12:00:00+00:00,0,8669.143528
2021-01-08 13:00:00+00:00,0,7404.742801
2021-01-08 14:00:00+00:00,0,5855.033099
2021-01-08 15:00:00+00:00,0,6060.664118
2021-01-08 16:00:00+00:00,0,6534.843187
2021-01-08 17:00:00+00:00,0,7512.850838
2021-01-08 18:00:00+00:00,0,7897.484735
2021-01-08 19:00:00+00:00,0,8354.788422
2021-01-08 20:00:00+00:00,0,8736.909485
2021-01-08 21:00:00+00:00,0,7616.270911
2021-01-08 22:00:00+00:00,0,6598.956895
2021-01-08 23:00:00+00:00,0,4480.842339
2021-01-09 00:00:00+00:00,0,4277.101674
2021-01-09 01:00:00+00:00,0,3835.301696
2021-01-09 02:00:00+00:00,0,3406.531484
