Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,ES_STUR_BIO,1500,1,ES,,,STUR,BIO,0.46,4,6,0.02,0.02,120,12.5,1.3,0.35,0.35,1,0,,,,,,,,,,,,,,,,,,,,
,ES_COMC_GAS,0,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,55,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ES_GTUR_GAS,0,1,ES,,,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,,,,,,,,,,,,
,ES_GTUR_GAS_Cogen,3053,1,ES,,,GTUR,GAS,0.425,0,0,0.166666667,0.166666667,0,0,0,0.2,0.425,0.166666667,0.564705882,,,,,,,,,,,,,,,,,,,,
,ES_ICEN_GAS,0,1,ES,,,ICEN,GAS,0.49,0,0,1,1,0,0,0,0.3,0.49,0,0.489795918,,,,,,,,,,,,,,,,,,,,
,ES_STUR_HRD,0,1,ES,,,STUR,HRD,0.46,8,8,0.017777778,0.017777778,65,0,0,0.3,0.46,2,0.81,,,,,,,,,,,,,,,,,,,,
,ES_STUR_NUC,0,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,300,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,ES_PHOT_SUN,65000,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ES_PHOT_SUN_Thermal,2302,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ES_HROR_WAT,1300,1,ES,,,HROR,WAT,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ES_HPHS_WAT,12000,1,ES,,,HDAM,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,,,,,,1800000,0,9567,0.9,,,,,,,,
,ES_HPHS_WAT_Pump,3371,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,0,0,0,0,1,0,0,,,,,,,,,30000,0,5666,0.8,,,,,,,,
,ES_WTON_WIN,65000,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ES_STUR_WST,690,1,ES,,,STUR,WST,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ES_STUR_BATS,15000,1,ES,,,BATS,OTH,0.95,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,90000,0,15000,0.95,,,,,,,,
