 ,WTON,WTOF,PHOT,HROR
2021-01-01 00:00:00+00:00,0.26049493,0,0,0.741218376
2021-01-01 01:00:00+00:00,0.269858089,0,0,0.725356305
2021-01-01 02:00:00+00:00,0.294071657,0,0,0.705686114
2021-01-01 03:00:00+00:00,0.32545224,0,0,0.661949025
2021-01-01 04:00:00+00:00,0.343220469,0,0,0.652558998
2021-01-01 05:00:00+00:00,0.351749966,0,0,0.651913904
2021-01-01 06:00:00+00:00,0.370432736,0,0,0.651755159
2021-01-01 07:00:00+00:00,0.388748446,0,0.001518934,0.653620632
2021-01-01 08:00:00+00:00,0.40199374,0,0.076913298,0.659158126
2021-01-01 09:00:00+00:00,0.395162677,0,0.284930551,0.674044642
2021-01-01 10:00:00+00:00,0.394297907,0,0.394339832,0.716589385
2021-01-01 11:00:00+00:00,0.418443039,0,0.42054528,0.721717924
2021-01-01 12:00:00+00:00,0.440441798,0,0.437637124,0.717110253
2021-01-01 13:00:00+00:00,0.442339316,0,0.394523945,0.708544073
2021-01-01 14:00:00+00:00,0.437928365,0,0.326831651,0.674182279
2021-01-01 15:00:00+00:00,0.415674529,0,0.199624759,0.674522636
2021-01-01 16:00:00+00:00,0.38994917,0,0.043818946,0.723357702
2021-01-01 17:00:00+00:00,0.372666208,0,0,0.758654595
2021-01-01 18:00:00+00:00,0.37772418,0,0,0.77486043
2021-01-01 19:00:00+00:00,0.375291625,0,0,0.774154763
2021-01-01 20:00:00+00:00,0.387106004,0,0,0.766465527
2021-01-01 21:00:00+00:00,0.383796236,0,0,0.752114171
2021-01-01 22:00:00+00:00,0.382072917,0,0,0.738851823
2021-01-01 23:00:00+00:00,0.380162957,0,0,0.721250484
2021-01-02 00:00:00+00:00,0.37881292,0,0,0.710225186
2021-01-02 01:00:00+00:00,0.387516615,0,0,0.703995546
2021-01-02 02:00:00+00:00,0.392667908,0,0,0.685901921
2021-01-02 03:00:00+00:00,0.389563445,0,0,0.680223602
2021-01-02 04:00:00+00:00,0.397277942,0,0,0.678338121
2021-01-02 05:00:00+00:00,0.410871633,0,0,0.683713242
2021-01-02 06:00:00+00:00,0.415363461,0,0,0.691362901
2021-01-02 07:00:00+00:00,0.418828763,0,0.002807727,0.70550945
2021-01-02 08:00:00+00:00,0.433480087,0,0.100786645,0.719276506
2021-01-02 09:00:00+00:00,0.439906761,0,0.301730882,0.723880659
2021-01-02 10:00:00+00:00,0.440062295,0,0.418090437,0.72382855
2021-01-02 11:00:00+00:00,0.4506324,0,0.462216239,0.718654718
2021-01-02 12:00:00+00:00,0.452063315,0,0.469995023,0.719745815
2021-01-02 13:00:00+00:00,0.460711018,0,0.447180326,0.722551335
2021-01-02 14:00:00+00:00,0.459186782,0,0.394846143,0.724907004
2021-01-02 15:00:00+00:00,0.453606215,0,0.265767433,0.737211935
2021-01-02 16:00:00+00:00,0.440553783,0,0.074847115,0.751897161
2021-01-02 17:00:00+00:00,0.434096002,0,0.004984186,0.762535161
2021-01-02 18:00:00+00:00,0.435259398,0,0,0.764248375
2021-01-02 19:00:00+00:00,0.42640639,0,0,0.761797833
2021-01-02 20:00:00+00:00,0.421846127,0,0,0.743085938
2021-01-02 21:00:00+00:00,0.418965633,0,0,0.731088492
2021-01-02 22:00:00+00:00,0.414299607,0,0,0.714185015
2021-01-02 23:00:00+00:00,0.406914842,0,0,0.701757726
2021-01-03 00:00:00+00:00,0.406398469,0,0,0.691762402
2021-01-03 01:00:00+00:00,0.397421034,0,0,0.67112468
2021-01-03 02:00:00+00:00,0.388288064,0,0,0.640563641
2021-01-03 03:00:00+00:00,0.384418373,0,0,0.614978223
2021-01-03 04:00:00+00:00,0.381214368,0,0,0.613114069
2021-01-03 05:00:00+00:00,0.373786054,0,0,0.620865747
2021-01-03 06:00:00+00:00,0.363987398,0,0,0.662696797
2021-01-03 07:00:00+00:00,0.354381605,0,0.00316061,0.673390973
2021-01-03 08:00:00+00:00,0.331480747,0,0.118630285,0.691492953
2021-01-03 09:00:00+00:00,0.311846107,0,0.347636445,0.70535961
2021-01-03 10:00:00+00:00,0.312822862,0,0.452765094,0.717123665
2021-01-03 11:00:00+00:00,0.336513834,0,0.476653784,0.710721758
2021-01-03 12:00:00+00:00,0.362637361,0,0.488774571,0.705011448
2021-01-03 13:00:00+00:00,0.379547041,0,0.481854982,0.701624156
2021-01-03 14:00:00+00:00,0.381463223,0,0.442915036,0.705633126
2021-01-03 15:00:00+00:00,0.364895718,0,0.308619785,0.716861032
2021-01-03 16:00:00+00:00,0.331219449,0,0.087210883,0.731994899
2021-01-03 17:00:00+00:00,0.320649344,0,0.006743898,0.73742213
2021-01-03 18:00:00+00:00,0.307883095,0,0.000886273,0.746114075
2021-01-03 19:00:00+00:00,0.300821842,0,0,0.749505983
2021-01-03 20:00:00+00:00,0.310290765,0,0,0.733575093
2021-01-03 21:00:00+00:00,0.294637801,0,0,0.721304791
2021-01-03 22:00:00+00:00,0.255884895,0,0,0.71111961
2021-01-03 23:00:00+00:00,0.233481747,0,0,0.699060931
2021-01-04 00:00:00+00:00,0.229220109,0,0,0.687228277
2021-01-04 01:00:00+00:00,0.233276441,0,0,0.684148032
2021-01-04 02:00:00+00:00,0.226918203,0,0,0.683801079
2021-01-04 03:00:00+00:00,0.221959772,0,0,0.680834726
2021-01-04 04:00:00+00:00,0.219527217,0,0,0.680203484
2021-01-04 05:00:00+00:00,0.216161456,0,0,0.683592864
2021-01-04 06:00:00+00:00,0.21445058,0,0,0.689921554
2021-01-04 07:00:00+00:00,0.208969554,0,0.002853755,0.697772723
2021-01-04 08:00:00+00:00,0.196912541,0,0.096183815,0.70736338
2021-01-04 09:00:00+00:00,0.180898738,0,0.268160905,0.705043989
2021-01-04 10:00:00+00:00,0.189204265,0,0.346547108,0.702392157
2021-01-04 11:00:00+00:00,0.211246575,0,0.364298691,0.701127804
2021-01-04 12:00:00+00:00,0.222625458,0,0.368748094,0.706856803
2021-01-04 13:00:00+00:00,0.226750226,0,0.347866587,0.709694644
2021-01-04 14:00:00+00:00,0.227546561,0,0.279652638,0.714477879
2021-01-04 15:00:00+00:00,0.209218409,0,0.178559138,0.723194669
2021-01-04 16:00:00+00:00,0.172810959,0,0.054097239,0.737893967
2021-01-04 17:00:00+00:00,0.15977097,0,0.008457378,0.749770265
2021-01-04 18:00:00+00:00,0.180936066,0,0,0.756998986
2021-01-04 19:00:00+00:00,0.189994379,0,0,0.756707221
2021-01-04 20:00:00+00:00,0.193640101,0,0,0.748131586
2021-01-04 21:00:00+00:00,0.19022457,0,0,0.739762188
2021-01-04 22:00:00+00:00,0.179797556,0,0,0.726176194
2021-01-04 23:00:00+00:00,0.166266079,0,0,0.706352425
2021-01-05 00:00:00+00:00,0.154252616,0,0,0.694029354
2021-01-05 01:00:00+00:00,0.155440897,0,0,0.69171535
2021-01-05 02:00:00+00:00,0.159024406,0,0,0.690509592
2021-01-05 03:00:00+00:00,0.151533878,0,0,0.687438801
2021-01-05 04:00:00+00:00,0.140030567,0,0,0.68698917
2021-01-05 05:00:00+00:00,0.136552822,0,0,0.686030434
2021-01-05 06:00:00+00:00,0.129864851,0,0,0.688934236
2021-01-05 07:00:00+00:00,0.119885775,0,0.002592928,0.69592451
2021-01-05 08:00:00+00:00,0.108911281,0,0.070960304,0.711855729
2021-01-05 09:00:00+00:00,0.088169237,0,0.250240552,0.717319568
2021-01-05 10:00:00+00:00,0.079627298,0,0.356734707,0.714458311
2021-01-05 11:00:00+00:00,0.077530697,0,0.4122295,0.706624182
2021-01-05 12:00:00+00:00,0.087161376,0,0.433878146,0.70846536
