Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,EHIBGES,5901,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,DUERO G,3543,1,ES,,,HDAM,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,248010,0,0,0,,,,,,,,
,TAJO G,2232,1,ES,,,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,,0,0,0.85,0.3,0,,,,,,,,,156240,0,0,0,,,,,,,,
,EOLICAGEST,2152,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ENH-FEC-GR,1871,1,ES,,,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,,0,0,0.85,0.3,0,,,,,,,,,130970,0,0,0,,,,,,,,
,EEGPEM,1691,1,ES,,,WTON,WIN,1,0,0,1,1,0,,0,0,0.5,1,0,,,,,,,,,,,,,,,,,,,,
,SIL G,1557,1,ES,,,HDAM,WAT,0.85,0,0,3.913043478,3.913043478,0,,0,0,0.85,0.3,0,,,,,,,,,108990,0,0,0,,,,,,,,
,MUELA G,1512,1,ES,,,HDAM,WAT,0.85,0,0,3.913043478,3.913043478,0,,0,0,0.85,0.3,0,,,,,,,,,105840,0,0,0,,,,,,,,
,MUELA B,1390,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,97300,0,1390,0.8,,,,,,,,
,DUERO B,1308,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,91560,0,1308,0.8,,,,,,,,
,FHIBGES,1296,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EOLICAGES1,1107,1,ES,,,WTON,WIN,1,0,0,0.108086469,0.108086469,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EREGPEM,1100,1,ES,,,WTON,WIN,1,0,0,0.108086469,0.108086469,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,COFRENTES,2064,1,ES,,,STUR,NUC,0.405,24,24,0.003279159,0.003279159,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,VANDELLOS,2045,1,ES,,,STUR,NUC,0.405,24,24,0.003279159,0.003279159,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 1,2011,1,ES,,,STUR,NUC,0.405,24,24,0.003402778,0.003402778,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 2,8006,1,ES,,,STUR,NUC,0.405,24,24,0.003409543,0.003409543,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,TRILLO,2003,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,ASCO 1,2996,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,ASCO 2,2992,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,EFWMARK,963,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,GNF MI¿O,941,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,65870,0,0,0,,,,,,,,
,BESOS 5,5859,1,ES,,,COMC,GAS,0.525,5,1,0.012988372,0.012988372,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 5,4856,1,ES,,,COMC,GAS,0.525,5,1,0.012988372,0.012988372,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,HCGSCSA,853,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,CASTELLO 4,5839,1,ES,,,COMC,GAS,0.525,5,1,0.013329356,0.013329356,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,HCGSIHA,825,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ARCOS3,4823,1,ES,,,COMC,GAS,0.525,5,1,0.013572297,0.013572297,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ALG3,5821,1,ES,,,COMC,GAS,0.5,5,1,0.013297619,0.013297619,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESC IBER 6,8916,1,ES,,,COMC,GAS,0.5,5,1,0.013297619,0.013297619,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,FREGPEM,806,1,ES,,,PHOT,SUN,1,0,0,1.105651106,1.105651106,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ESCAT3,804,1,ES,,,COMC,GAS,0.525,5,1,0.014032663,0.014032663,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SOLARES 1,801,1,ES,,,PHOT,SUN,1,0,0,1.105651106,1.105651106,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,CASTELNOU,791,1,ES,,,COMC,GAS,0.525,5,1,0.014032663,0.014032663,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,AMBIETA,786,1,ES,,,COMC,GAS,0.525,5,1,0.014229299,0.014229299,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,BAHIAB,785,1,ES,,,COMC,GAS,0.525,5,1,0.014229299,0.014229299,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,CASTELLO 3,782,1,ES,,,COMC,GAS,0.525,5,1,0.014247449,0.014247449,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,JUCAR,739,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,51730,0,0,0,,,,,,,,
,EGASNE2,651,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SIL-BIB-EU,626,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,43820,0,0,0,,,,,,,,
