Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon,Lat/Lon
,EHIBGES,5933,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,DUERO G,3534,1,ES,,,HDAM,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,247380,0,0,0,,,,,,,,
,EOLICAGEST,2301,1,ES,,,WTON,WIN,1,0,0,0.058542932,0.058542932,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,TAJO G,2228,1,ES,,,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,,0,0,0.85,0.3,0,,,,,,,,,155960,0,0,0,,,,,,,,
,ENH-FEC-GR,1871,1,ES,,,HDAM,WAT,0.85,0,0,0.046728972,0.046728972,0,,0,0,0.85,0.3,0,,,,,,,,,130970,0,0,0,,,,,,,,
,SIL G,1557,1,ES,,,HDAM,WAT,0.85,0,0,3.913043478,3.913043478,0,,0,0,0.85,0.3,0,,,,,,,,,108990,0,0,0,,,,,,,,
,MUELA G,1512,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,105840,0,1512,0.8,,,,,,,,
,MUELA B,1390,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,97300,0,1390,0.8,,,,,,,,
,DUERO B,1308,1,ES,,,HPHS,WAT,0.8,0,0,0.066666667,0.066666667,,0,0,0,1,0,0,,,,,,,,,91560,0,1308,0.8,,,,,,,,
,EEGPEM,1127,1,ES,,,WTON,WIN,1,0,0,0.108086469,0.108086469,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,HCGSCSA,1077,1,ES,,,WTON,WIN,1,0,0,0.108086469,0.108086469,0,,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,COFRENTES,1064,1,ES,,,STUR,NUC,0.405,24,24,0.003279159,0.003279159,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,VANDELLOS,1045,1,ES,,,STUR,NUC,0.405,24,24,0.003279159,0.003279159,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,EOLICAGES1,1045,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 1,1011,1,ES,,,STUR,NUC,0.405,24,24,0.003402778,0.003402778,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 2,1006,1,ES,,,STUR,NUC,0.405,24,24,0.003409543,0.003409543,200000,,0,0.9,0.405,0,0,,,,,,,,,,,,,,,,,,,,
,TRILLO,1003,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,ASCO 1,996,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,ASCO 2,992,1,ES,,,STUR,NUC,1,24,24,0.003333333,0.003333333,,0,0,0.5,1,12,0,,,,,,,,,,,,,,,,,,,,
,GNF MI¿O,941,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,65870,0,0,0,,,,,,,,
,EFWMARK,917,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FV100EGHAB,900,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SOLARES 1,899,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,BESOS 5,859,1,ES,,,COMC,GAS,0.525,5,1,0.012988372,0.012988372,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 5,856,1,ES,,,COMC,GAS,0.525,5,1,0.012988372,0.012988372,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,CASTELLO 4,839,1,ES,,,COMC,GAS,0.525,5,1,0.013329356,0.013329356,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ARCOS3,823,1,ES,,,COMC,GAS,0.525,5,1,0.013572297,0.013572297,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ALG3,821,1,ES,,,COMC,GAS,0.5,5,1,0.013297619,0.013297619,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESC IBER 6,816,1,ES,,,COMC,GAS,0.5,5,1,0.013297619,0.013297619,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESCAT3,804,1,ES,,,COMC,GAS,0.525,5,1,0.014032663,0.014032663,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,CASTELNOU,791,1,ES,,,COMC,GAS,0.525,5,1,0.014032663,0.014032663,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,AMBIETA,786,1,ES,,,COMC,GAS,0.525,5,1,0.014229299,0.014229299,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,BAHIAB,785,1,ES,,,COMC,GAS,0.525,5,1,0.014229299,0.014229299,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,CASTELLO 3,782,1,ES,,,COMC,GAS,0.525,5,1,0.014247449,0.014247449,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,EREGPEM,757,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,JUCAR,732,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,51240,0,0,0,,,,,,,,
,HCGSIHA,715,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EGASNE2,651,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SIL-BIB-EU,626,1,ES,,,HDAM,WAT,0.85,0,0,0.164533821,0.164533821,0,,0,0,0.85,0.3,0,,,,,,,,,43820,0,0,0,,,,,,,,
,EGASNE1,626,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,BARRIOS,570,1,ES,,,STUR,HRD,0.395,8,6,0.008865248,0.008865248,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,ABO¿O 2,562,1,ES,,,STUR,HRD,0.395,8,6,0.008865248,0.008865248,117242.17,,0,0.3,0.395,7,0.95,,,,,,,,,,,,,,,,,,,,
,FREGPEM,520,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,EEGPES,478,1,ES,,,WTON,WIN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,FIIBGES,448,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SALLENT G,439,1,ES,,,HPHS,WAT,0.86,0,0,0.659340659,0.659340659,0,,0,0,0.86,0.3,0,,,,,,,,,30730,0,439,0.86,,,,,,,,
,PBCN1,435,1,ES,,,COMC,GAS,0.525,5,1,0.025678161,0.025678161,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,PBCN2,431,1,ES,,,COMC,GAS,0.58,2,2,0.03235498,0.03235498,15000,,0,0.451388889,0.435,2,0.44,,,,,,,,,,,,,,,,,,,,
,FIBGEPI,430,1,ES,,,PHOT,SUN,1,0,0,0.02,0.02,,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
,SOTO5,428,1,ES,,,COMC,GAS,0.525,5,1,0.026159251,0.026159251,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SOTORIBE 4,426,1,ES,,,COMC,GAS,0.525,5,1,0.026220657,0.026220657,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,HC-HIDRAUL,426,1,ES,,,HDAM,WAT,0.85,0,0,0.213776722,0.213776722,0,,0,0,0.85,0.3,0,,,,,,,,,29820,0,0,0,,,,,,,,
,CASTEJO1 H,425,1,ES,,,COMC,GAS,0.525,5,1,0.026282353,0.026282353,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,GUADALQUIV,424,1,ES,,,HDAM,WAT,0.85,0,0,0.213776722,0.213776722,0,,0,0,0.85,0.3,0,,,,,,,,,29680,0,0,0,,,,,,,,
,PVENT1,420,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,TAJOENC B,420,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,29400,0,420,0.86,,,,,,,,
,CASTEJO3 H,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESC CART 1,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESC CART 2,418,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,TARRAG IB,417,1,ES,,,COMC,GAS,0.585,2,2,0.032142857,0.032142857,15000,,0,0.436450839,0.43875,2,0.44,,,,,,,,,,,,,,,,,,,,
,MALA1,416,1,ES,,,COMC,GAS,0.51,4,1,0.024096386,0.021686747,121659.9542,,0,0.489156627,0.52,0,0.40524105,,,,,,,,,,,,,,,,,,,,
,Plana del Vent,414,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESC CART 3,413,1,ES,,,COMC,GAS,0.525,5,1,0.027046005,0.027046005,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SIL B,412,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,28840,0,412,0.86,,,,,,,,
,BESOS 3,412,1,ES,,,COMC,GAS,0.51,4,4,0.036407767,0.02026699,68516.27564,,0,0.631067961,0.53,0,0.405133848,,,,,,,,,,,,,,,,,,,,
,SAGU2,412,1,ES,,,COMC,GAS,0.51,4,4,0.036407767,0.02026699,68516.27564,,0,0.631067961,0.53,0,0.405133848,,,,,,,,,,,,,,,,,,,,
,SAGU3,411,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,SAGU1,410,1,ES,,,COMC,GAS,0.57,2,4,0.03,0.03,,0,0,0.36,0.57,1,0.42,,,,,,,,,,,,,,,,,,,,
,ESCCC1,403,1,ES,,,COMC,GAS,0.50443962,4,4,0.030940594,0.025074257,97995.99542,,0,0.48019802,0.52,0,1.370290248,,,,,,,,,,,,,,,,,,,,
,SANROQUE2,402,1,ES,,,COMC,GAS,0.525,5,1,0.027855362,0.027855362,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,ESC GDF 2,401,1,ES,,,COMC,GAS,0.525,5,1,0.027855362,0.027855362,112542.12,,0,0.4,0.525,1,0.45,,,,,,,,,,,,,,,,,,,,
,SALLENT B,400,1,ES,,,HPHS,WAT,0.86,0,0,0.721153846,0.721153846,0,,0,0,0.86,0.3,0,,,,,,,,,28000,0,400,0.86,,,,,,,,
