Title,Installed capacity_01-01-2018_31-12-2024,,,,,,
Electricity system,Peninsular,,,,,,
Magnitude,MW,,,,,,
 ,,,,,,,
Fecha,2018-12-01T00:00:00+01:00,2019-12-01T00:00:00+01:00,2020-12-01T00:00:00+01:00,2021-12-01T00:00:00+01:00,2022-12-01T00:00:00+01:00,2023-12-01T00:00:00+01:00,2024-12-01T00:00:00+01:00
Hydro,"1,70,62,681","1,70,96,868","1,70,96,763","1,70,92,427","1,70,92,427","1,70,95,545","1,70,94,935"
Nuclear,"7117,29","7117,29","7117,29","7117,29","7117,29","7117,29","7117,29"
Coal,"95,61,885","92,15,045","54,92,025","35,22,925","32,23,165","32,23,165","18,19,975"
Fuel + Gas,"7,95","7,95","7,95","7,95","7,95","7,95","7,95"
Combined cycle,"2,45,61,845","2,45,61,845","2,45,61,845","2,45,61,845","2,45,61,845","2,45,61,845","2,45,61,845"
Wind,"2,30,10,592","2,52,48,995","2,72,05,555","2,81,08,565","29541,35","30160,18","3,14,64,551"
Solar photovoltaic,"4526,36","85,27,802","1,14,63,352","1,50,59,468","1,97,62,689","2,57,49,974","3,20,04,579"
Thermal solar,"23,02,223","23,02,223","23,02,223","23,02,223","23,02,223","23,02,223","23,02,223"
Other renewables,"8,91,345","1041,57","10,91,398","10,92,714","10,94,384","10,96,423","10,97,614"
Cogeneration,"5828,24","56,51,615","56,35,698","55,84,884","55,69,595","55,61,522","55,24,778"
Non-renewable waste,"4,10,037","4,03,509","3,93,829","4,06,619","3,87,179","3,87,179","3,87,179"
Renewable waste,"1,18,838","1,18,838","1,18,838","1,31,628","1,31,628","1,31,628","1,31,628"
Total capacity,"9,53,99,28,60,00,00,000","10,12,93,55,00,00,00,000","10,24,86,76,60,00,00,000","10,49,88,53,80,00,00,000","11,07,91,725","11,73,94,924","12,35,14,547"
 ,,,,,,,
Notes,,,,,,,
 ,,,,,,,
 ,,,,,,,
Export date,18/09/2025 - 12:02:55,,,,,,
 ,,,,,,,
Source,www.ree.es,,,,,,
