Title,Installed capacity_01-01-2018_31-12-2024,,,,,,,,,,Production Type,2018,2019,2020,2021,2022,2023,2024,2025
Electricity system,Peninsular,,,,,,,,,,Production Type,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW]
Magnitude,MW,,,,,,,,,,Hydro Water Reservoir,19125,19146,19139,19186,19187,15773,15771,15765
 ,,,,,,,,,,,Other,117,117,117,117,118,118,122,130
Fecha,2018,2019,2020,2021,2022,2023,2024,2025,,,Other renewable,262,261,275,269,272,285,287,621
Hydro,17062.681,17096.868,17096.763,17092.427,17092.427,17095.545,17094.935,17077.2,,,Fossil Gas,30683,30266,30012,29970,29927,29903,29873,29943
Nuclear,7117.29,7117.29,7117.29,7117.29,7117.29,7117.29,7117.29,7117.29,,,Fossil Oil shale,0,0,0,0,0,0,0,0
Coal,9561.885,9215.045,5144.325,3522.925,3223.165,1819.975,1819.975,1258.09,,,Nuclear,7117,7117,7117,7117,7117,7117,7117,7117
Fuel + Gas,7.95,7.95,7.95,7.95,7.95,7.95,7.95,561.885,,,Fossil Peat,0,0,0,0,0,0,0,0
Combined cycle,24561.845,24561.845,24561.845,24561.845,24561.845,24561.845,24561.845,24561.845,,,Fossil Coal-derived gas,0,0,0,0,0,0,0,0
Wind,23049.965,25283.279,27207.055,28131.29,29581.5,30179.43,31534.551,32109.951,,,Solar,6722,6751,8466,11390,14640,18523,23867,29047
Solar photovoltaic,4585.084,8649.615,11584.798,15455.398,20013.841,25937.594,32350.633,35973.189,,,Hydro Pumped Storage,5645,5645,5645,5645,5695,3418,3418,3418
Thermal solar,2302.223,2302.223,2302.223,2302.223,2302.223,2302.223,2302.223,2300.823,,,Fossil Hard coal,9535,9561,9214,5977,4642,3223,3223,1820
Other renewables,891.345,1091.07,1091.398,1092.714,1094.384,1096.773,1097.614,1129.012,,,Fossil Oil,715,714,707,678,669,670,704,672
Cogeneration,5759.42,5651.615,5631.672,5583.621,5569.595,5561.522,5505.381,5209.291,,,Wind Onshore,22834,22961,24447,26664,27735,29320,30159,30932
Non-renewable waste,403.509,403.509,393.829,406.619,387.179,387.179,387.179,378.241,,,Wind Offshore,0,0,0,0,0,0,0,0
Renewable waste,118.838,118.838,118.838,131.628,131.628,131.628,131.628,131.628,,,Marine,0,0,0,0,0,0,0,0
Total capacity,95422.035,101499.147,102257.986,105405.93,111083.027,116198.954,123911.204,127808.445,,,Fossil Brown coal/Lignite,0,0,0,0,0,0,0,0
 ,,,,,,,,,,,Waste,544,538,543,537,565,546,546,546
T Load as per REE,254549604.1,249916869.5,237876310.5,243877804.2,236058911.2,229295056.9,232261421.1,,,,Biomass,520,507,555,704,702,707,708,709
,,,,,,,,,,,Geothermal,0,0,0,0,0,0,0,0
Tload Dispast,254603253,249987747,237927495,243953240,236104430,229144144,232028176,,,,Hydro Run-of-river and poundage,1156,1156,1155,1155,1155,1155,1155,1154
,-53648.9,-70877.5,-51184.5,-75435.8,-45518.8,150912.9,233245.1,,,,Total Grand capacity,104975,104740,107392,109409,112424,110758,116950,121874
